planet_name,host_name,number_of_stars,number_of_planets,discoverymethod,disc_facility,type,class_scores_EB,class_scores_PC,class_scores_V,class_scores_IS,predicted_classification
TOI-700 c,TOI-700,1,4,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.07127876,0.92871994,1.8809382e-08,1.3066071e-06,PC
TOI-700 d,TOI-700,1,4,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.07127876,0.92871994,1.8809382e-08,1.3066071e-06,PC
TOI-700 e,TOI-700,1,4,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.07127876,0.92871994,1.8809382e-08,1.3066071e-06,PC
TOI-712 b,TOI-712,1,3,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.18840519,0.8115878,4.0056753e-07,6.6811963e-06,PC
TOI-712 c,TOI-712,1,3,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.18840519,0.8115878,4.0056753e-07,6.6811963e-06,PC
TOI-712 d,TOI-712,1,3,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.18840519,0.8115878,4.0056753e-07,6.6811963e-06,PC
TOI-715 b,TOI-715,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.030546293,0.96943295,1.0221319e-06,1.9805522e-05,PC
TOI-733 b,TOI-733,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.11136508,0.8886211,9.3095593e-07,1.2821861e-05,PC
TOI-763 b,TOI-763,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.107080586,0.89291847,1.263311e-08,9.596558e-07,PC
TOI-763 c,TOI-763,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.107080586,0.89291847,1.263311e-08,9.596558e-07,PC
TOI-776 b,TOI-776,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.031475805,0.9685194,2.4733527e-07,4.6140253e-06,PC
TOI-776 c,TOI-776,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.031475805,0.9685194,2.4733527e-07,4.6140253e-06,PC
TOI-778 b,TOI-778,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.46915913,0.53080624,1.1233957e-07,3.4584384e-05,PC
TOI-784 b,HD 307842,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.06775474,0.9322112,1.4734727e-06,3.2561315e-05,PC
TOI-813 b,TOI-813,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.05120409,0.9487937,3.0115466e-08,2.0637272e-06,PC
TOI-824 b,TOI-824,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.13005906,0.86993074,4.1975045e-07,9.697519e-06,PC
TOI-833 b,TOI-833,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.03173668,0.9682597,4.846058e-07,3.0453798e-06,PC
TOI-836 b,TOI-836,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.22290666,0.7770849,1.082485e-07,8.277157e-06,PC
TOI-836 c,TOI-836,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.22290666,0.7770849,1.082485e-07,8.277157e-06,PC
TOI-837 b,TOI-837,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.8556844,0.14403355,2.98349e-07,0.00028171885,EB
TOI-858 B b,TOI-858 B,2,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.4059929,0.59399915,4.9152806e-07,7.4266068e-06,PC
TOI-892 b,TOI-892,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.00032113286,0.040520504,0.095165215,0.86399317,IS
TOI-905 b,TOI-905,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.76705194,0.23294604,4.3475012e-08,1.9303072e-06,EB
TOI-908 b,TOI-908,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.022610418,0.977386,1.1708932e-07,3.4624084e-06,PC
TOI-913 b,TOI-913,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.021066671,0.97892994,5.7998147e-08,3.3071192e-06,PC
TOI-942 b,TOI-942,3,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,6.865307e-06,0.0042517334,0.9132146,0.082526736,V
TOI-942 c,TOI-942,3,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,6.865307e-06,0.0042517334,0.9132146,0.082526736,V
TOI-954 b,TOI-954,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.0024409418,0.023066193,0.3188867,0.65560615,IS
TOI-969 b,TOI-969,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,2.320027e-06,0.010500493,0.00041804422,0.98907906,IS
WASP-132 c,WASP-132,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.6774256,0.32255983,4.8360185e-08,1.44513915e-05,EB
WASP-84 c,WASP-84,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.95946884,0.040511847,5.866317e-07,1.8798934e-05,EB
pi Men c,HD 39091,1,3,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.89648485,0.101541474,9.5288485e-08,0.0019736155,EB
